task,dataset,model,device,runtime,precision,cell,metric,Q,chance,latency_ms,param_count,gmacs,source
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,249.0,0,,llm-perf-task
LLM GPQA,GPQA,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,436.0,0,,llm-perf-task
LLM MuSR,MuSR,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.146296,0.0,436.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.018035,0.0,436.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2201,0.25,455.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3153,0.25,455.0,0,,llm-perf-task
LLM MMLU,MMLU,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | MMLU,MMLU,0.2583,0.25,455.0,0,,llm-perf-task
LLM Winogrande,Winogrande,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | Winogrande,Winogrande,0.5043,0.5,455.0,0,,llm-perf-task
LLM GSM8K,GSM8K,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | GSM8K,GSM8K,0.0068,0.0,455.0,0,,llm-perf-task
LLM IFEval,IFEval,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | IFEval,IFEval,0.178604,0.0,455.0,0,,llm-perf-task
LLM BBH,BBH,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | BBH,BBH,0.027454,0.0,455.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.003776,0.0,455.0,0,,llm-perf-task
LLM GPQA,GPQA,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,455.0,0,,llm-perf-task
LLM MuSR,MuSR,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | MuSR,MuSR,0.146296,0.0,455.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.018035,0.0,455.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2201,0.25,466.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3153,0.25,466.0,0,,llm-perf-task
LLM MMLU,MMLU,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | MMLU,MMLU,0.2583,0.25,466.0,0,,llm-perf-task
LLM Winogrande,Winogrande,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | Winogrande,Winogrande,0.5043,0.5,466.0,0,,llm-perf-task
LLM GSM8K,GSM8K,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | GSM8K,GSM8K,0.0068,0.0,466.0,0,,llm-perf-task
LLM IFEval,IFEval,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | IFEval,IFEval,0.178604,0.0,466.0,0,,llm-perf-task
LLM BBH,BBH,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | BBH,BBH,0.027454,0.0,466.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.003776,0.0,466.0,0,,llm-perf-task
LLM GPQA,GPQA,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,466.0,0,,llm-perf-task
LLM MuSR,MuSR,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | MuSR,MuSR,0.146296,0.0,466.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,openai-community/gpt2,1xT4,pytorch,float32,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.018035,0.0,466.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2201,0.25,471.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3153,0.25,471.0,0,,llm-perf-task
LLM MMLU,MMLU,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.2583,0.25,471.0,0,,llm-perf-task
LLM Winogrande,Winogrande,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.5043,0.5,471.0,0,,llm-perf-task
LLM GSM8K,GSM8K,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.0068,0.0,471.0,0,,llm-perf-task
LLM IFEval,IFEval,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.178604,0.0,471.0,0,,llm-perf-task
LLM BBH,BBH,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.027454,0.0,471.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.003776,0.0,471.0,0,,llm-perf-task
LLM GPQA,GPQA,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,471.0,0,,llm-perf-task
LLM MuSR,MuSR,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.146296,0.0,471.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.018035,0.0,471.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2201,0.25,473.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3153,0.25,473.0,0,,llm-perf-task
LLM MMLU,MMLU,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.2583,0.25,473.0,0,,llm-perf-task
LLM Winogrande,Winogrande,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.5043,0.5,473.0,0,,llm-perf-task
LLM GSM8K,GSM8K,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.0068,0.0,473.0,0,,llm-perf-task
LLM IFEval,IFEval,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.178604,0.0,473.0,0,,llm-perf-task
LLM BBH,BBH,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.027454,0.0,473.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.003776,0.0,473.0,0,,llm-perf-task
LLM GPQA,GPQA,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,473.0,0,,llm-perf-task
LLM MuSR,MuSR,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.146296,0.0,473.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.018035,0.0,473.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2201,0.25,483.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3153,0.25,483.0,0,,llm-perf-task
LLM MMLU,MMLU,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.2583,0.25,483.0,0,,llm-perf-task
LLM Winogrande,Winogrande,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.5043,0.5,483.0,0,,llm-perf-task
LLM GSM8K,GSM8K,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.0068,0.0,483.0,0,,llm-perf-task
LLM IFEval,IFEval,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.178604,0.0,483.0,0,,llm-perf-task
LLM BBH,BBH,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.027454,0.0,483.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.003776,0.0,483.0,0,,llm-perf-task
LLM GPQA,GPQA,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,483.0,0,,llm-perf-task
LLM MuSR,MuSR,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.146296,0.0,483.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.018035,0.0,483.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2201,0.25,484.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3153,0.25,484.0,0,,llm-perf-task
LLM MMLU,MMLU,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.2583,0.25,484.0,0,,llm-perf-task
LLM Winogrande,Winogrande,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.5043,0.5,484.0,0,,llm-perf-task
LLM GSM8K,GSM8K,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.0068,0.0,484.0,0,,llm-perf-task
LLM IFEval,IFEval,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.178604,0.0,484.0,0,,llm-perf-task
LLM BBH,BBH,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.027454,0.0,484.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.003776,0.0,484.0,0,,llm-perf-task
LLM GPQA,GPQA,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,484.0,0,,llm-perf-task
LLM MuSR,MuSR,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.146296,0.0,484.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.018035,0.0,484.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2201,0.25,486.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3153,0.25,486.0,0,,llm-perf-task
LLM MMLU,MMLU,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.2583,0.25,486.0,0,,llm-perf-task
LLM Winogrande,Winogrande,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.5043,0.5,486.0,0,,llm-perf-task
LLM GSM8K,GSM8K,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.0068,0.0,486.0,0,,llm-perf-task
LLM IFEval,IFEval,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.178604,0.0,486.0,0,,llm-perf-task
LLM BBH,BBH,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.027454,0.0,486.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.003776,0.0,486.0,0,,llm-perf-task
LLM GPQA,GPQA,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,486.0,0,,llm-perf-task
LLM MuSR,MuSR,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.146296,0.0,486.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.018035,0.0,486.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2201,0.25,492.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3153,0.25,492.0,0,,llm-perf-task
LLM MMLU,MMLU,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.2583,0.25,492.0,0,,llm-perf-task
LLM Winogrande,Winogrande,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.5043,0.5,492.0,0,,llm-perf-task
LLM GSM8K,GSM8K,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.0068,0.0,492.0,0,,llm-perf-task
LLM IFEval,IFEval,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.178604,0.0,492.0,0,,llm-perf-task
LLM BBH,BBH,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.027454,0.0,492.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.003776,0.0,492.0,0,,llm-perf-task
LLM GPQA,GPQA,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,492.0,0,,llm-perf-task
LLM MuSR,MuSR,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.146296,0.0,492.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,openai-community/gpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.018035,0.0,492.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2201,0.25,532.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3153,0.25,532.0,0,,llm-perf-task
LLM MMLU,MMLU,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | MMLU,MMLU,0.2583,0.25,532.0,0,,llm-perf-task
LLM Winogrande,Winogrande,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | Winogrande,Winogrande,0.5043,0.5,532.0,0,,llm-perf-task
LLM GSM8K,GSM8K,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | GSM8K,GSM8K,0.0068,0.0,532.0,0,,llm-perf-task
LLM IFEval,IFEval,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | IFEval,IFEval,0.178604,0.0,532.0,0,,llm-perf-task
LLM BBH,BBH,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | BBH,BBH,0.027454,0.0,532.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.003776,0.0,532.0,0,,llm-perf-task
LLM GPQA,GPQA,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,532.0,0,,llm-perf-task
LLM MuSR,MuSR,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | MuSR,MuSR,0.146296,0.0,532.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.018035,0.0,532.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2201,0.25,534.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3153,0.25,534.0,0,,llm-perf-task
LLM MMLU,MMLU,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | MMLU,MMLU,0.2583,0.25,534.0,0,,llm-perf-task
LLM Winogrande,Winogrande,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | Winogrande,Winogrande,0.5043,0.5,534.0,0,,llm-perf-task
LLM GSM8K,GSM8K,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | GSM8K,GSM8K,0.0068,0.0,534.0,0,,llm-perf-task
LLM IFEval,IFEval,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | IFEval,IFEval,0.178604,0.0,534.0,0,,llm-perf-task
LLM BBH,BBH,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | BBH,BBH,0.027454,0.0,534.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.003776,0.0,534.0,0,,llm-perf-task
LLM GPQA,GPQA,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,534.0,0,,llm-perf-task
LLM MuSR,MuSR,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | MuSR,MuSR,0.146296,0.0,534.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,openai-community/gpt2,1xT4,pytorch,bfloat16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.018035,0.0,534.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2278,0.25,535.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3034,0.25,535.0,0,,llm-perf-task
LLM MMLU,MMLU,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | MMLU,MMLU,0.2495,0.25,535.0,0,,llm-perf-task
LLM Winogrande,Winogrande,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | Winogrande,Winogrande,0.5154,0.5,535.0,0,,llm-perf-task
LLM GSM8K,GSM8K,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | GSM8K,GSM8K,0.0023,0.0,535.0,0,,llm-perf-task
LLM IFEval,IFEval,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | IFEval,IFEval,0.181552,0.0,535.0,0,,llm-perf-task
LLM BBH,BBH,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | BBH,BBH,0.021988,0.0,535.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.009063,0.0,535.0,0,,llm-perf-task
LLM GPQA,GPQA,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,535.0,0,,llm-perf-task
LLM MuSR,MuSR,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | MuSR,MuSR,0.106755,0.0,535.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.013279,0.0,535.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.0611,0.0,537.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.028352,0.0,537.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,537.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.012304,0.0,537.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.111578,0.0,537.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.020759,0.0,537.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2278,0.25,560.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3034,0.25,560.0,0,,llm-perf-task
LLM MMLU,MMLU,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | MMLU,MMLU,0.2495,0.25,560.0,0,,llm-perf-task
LLM Winogrande,Winogrande,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | Winogrande,Winogrande,0.5154,0.5,560.0,0,,llm-perf-task
LLM GSM8K,GSM8K,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | GSM8K,GSM8K,0.0023,0.0,560.0,0,,llm-perf-task
LLM IFEval,IFEval,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | IFEval,IFEval,0.181552,0.0,560.0,0,,llm-perf-task
LLM BBH,BBH,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | BBH,BBH,0.021988,0.0,560.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.009063,0.0,560.0,0,,llm-perf-task
LLM GPQA,GPQA,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,560.0,0,,llm-perf-task
LLM MuSR,MuSR,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | MuSR,MuSR,0.106755,0.0,560.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,EleutherAI/pythia-160m,1xT4,pytorch,float32,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.013279,0.0,560.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,EleutherAI/pythia-160m,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2278,0.25,562.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,EleutherAI/pythia-160m,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.3034,0.25,562.0,0,,llm-perf-task
LLM MMLU,MMLU,EleutherAI/pythia-160m,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.2495,0.25,562.0,0,,llm-perf-task
LLM Winogrande,Winogrande,EleutherAI/pythia-160m,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.5154,0.5,562.0,0,,llm-perf-task
LLM GSM8K,GSM8K,EleutherAI/pythia-160m,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.0023,0.0,562.0,0,,llm-perf-task
LLM IFEval,IFEval,EleutherAI/pythia-160m,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.181552,0.0,562.0,0,,llm-perf-task
LLM BBH,BBH,EleutherAI/pythia-160m,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.021988,0.0,562.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,EleutherAI/pythia-160m,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.009063,0.0,562.0,0,,llm-perf-task
LLM GPQA,GPQA,EleutherAI/pythia-160m,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.011186,0.0,562.0,0,,llm-perf-task
LLM MuSR,MuSR,EleutherAI/pythia-160m,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.106755,0.0,562.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,EleutherAI/pythia-160m,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.013279,0.0,562.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,EleutherAI/pythia-160m,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.2278,0.25,569.0,0,,llm-perf-task
